PARTNERID,PARTNERROLE,EMAILADDRESS,PHONENUMBER,FAXNUMBER,WEBADDRESS,ADDRESSID,COMPANYNAME,LEGALFORM,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,CURRENCY
100000000.00,2.00,maria.brown@all4bikes.com,622734567.00,,http://www.all4bikes.com,1000000034.00,All For Bikes,Inc.,10.00,20181003.00,10.00,20181003.00,USD
100000001.00,2.00,bob.buyer@amazebikes.com,3088530.00,,http://www.amazebikes.com,1000000035.00,Amaze Bikes Inc,Inc.,13.00,20181003.00,13.00,20181003.00,USD
100000002.00,2.00,victor.sanchez@arenasportusa.com,3023352668.00,,http://www.arenasportusa.com,1000000036.00,Arena Sports Inc,Inc.,14.00,20181003.00,14.00,20181003.00,USD
100000003.00,2.00,franklin.jones@atlantausa.com,511403266.00,,http://www.atlantausa.com,1000000037.00,Atlanta Corp Inc,Inc.,10.00,20181003.00,10.00,20181003.00,USD
100000004.00,2.00,robert_brown@bikeworlds.com,2244668800.00,,http://www.bikeworlds.com,1000000038.00,Bike World Inc,Inc.,4.00,20181003.00,4.00,20181003.00,USD
100000005.00,1.00,bart.koenig@alphabikes.de,2511415.00,,http://www.alphabikes.de,1000000039.00,Alpha AG,AG,6.00,20181003.00,6.00,20181003.00,EUR
100000006.00,1.00,sarah.schwind@buchungkreis-gmbh.de,9078563412.00,,http://www.buchungkreis-gmbh.de,1000000040.00,BuchungsKreis 1010,GmbH,1.00,20181003.00,1.00,20181003.00,EUR
100000007.00,1.00,mirjam.schmidt@trekcycle-berlin.de,149744423.00,,http://www.trekcycle-berlin.de,1000000041.00,Trek Cycle AG,AG,8.00,20181003.00,8.00,20181003.00,EUR
100000008.00,2.00,saskia.sommer@tonabikes-ag.de,7257716.00,,http://www.tonabikes-ag.de,1000000042.00,Tona Bikes AG,AG,8.00,20181003.00,8.00,20181003.00,EUR
100000009.00,2.00,dagmar.schulze@meinebicyclebayern.de,1133557799.00,,http://www.meinebicyclebayern.de,1000000043.00,Meine Bicycle,GmbH,13.00,20181003.00,13.00,20181003.00,EUR
100000010.00,1.00,jorgemontalban@avantegrande.co.uk,6789012345.00,,http://www.avantegrande.co.uk,1000000044.00,Avante Grande Bikes,Ltd.,10.00,20181003.00,10.00,20181003.00,GBP
100000011.00,2.00,johanna.esther@bikeon.co.uk,6623612804.00,,http://www.bikeon.co.uk,1000000045.00,Bike On,Ltd.,13.00,20181003.00,13.00,20181003.00,GBP
100000012.00,1.00,miguel.luengo@carefreecycles.com,2589436180.00,,http://www.carefreecycles.com,1000000046.00,Carefree Cycles,Ltd.,1.00,20181003.00,1.00,20181003.00,GBP
100000013.00,1.00,isabel.nemours@gnmbikes.co.uk,4507867136.00,,http://www.gnmbikes.co.uk/,1000000047.00,G&M Bicycle,Ltd.,8.00,20181003.00,8.00,20181003.00,GBP
100000014.00,2.00,igor.tarassow@keepcycling-london.co.uk,5850428367.00,,http://www.keepcycling-london.co.uk,1000000048.00,Keep Cycling,Ltd.,6.00,20181003.00,6.00,20181003.00,GBP
